Cst_Cnt,Cruise_ID,Cruise,Cruz_Sta,DbSta_ID,Cast_ID,Sta_ID,Quarter,Sta_Code,Distance,Date,Year,Month,Julian_Date,Julian_Day,Time,Lat_Dec,Lat_Deg,Lat_Min,Lat_Hem,Lon_Dec,Lon_Deg,Lon_Min,Lon_Hem,Rpt_Line,St_Line,Ac_Line,Rpt_Sta,St_Station,Ac_Sta,Bottom_D,Secchi,ForelU,Ship_Name,Ship_Code,Data_Type,Order_Occ,Event_Num,Cruz_Leg,Orig_Sta_ID,Data_Or,Cruz_Num,IntChl,IntC14,Inc_Str,Inc_End,PST_LAN,Civil_T,TimeZone,Wave_Dir,Wave_Ht,Wave_Prd,Wind_Dir,Wind_Spd,Barometer,Dry_T,Wet_T,Wea,Cloud_Typ,Cloud_Amt,Visibility
32270,2010-01-13-C-32NM,201001,20100108000700,08000700,20-1001NM-PR-028-2005-08000700,080.0 070.0,1,ST,-78.38300,01/28/2010,2010,1,40206,28,12/30/1899 20:05:00,33.818333,33,49.100000,N,-121.846667,-121,50.800000,W,80.0,80.000000,80.000000,70.0,70.000000,70.000000,3635,14,,RV NEW HORIZON,32NM,PR,63,622,,80.0 70.0,3101,1001,41.90000,266.4000,12/30/1899 13:07:00,12/30/1899 18:05:00,12/30/1899 12:20:00,12/30/1899 18:03:00,+08,28,4,8,27,10,1016.700,14.10000,12.20000,1,7,5,7
32271,2010-01-13-C-32NM,201001,20100108000800,08000800,20-1001NM-MX-029-0231-08000800,080.0 080.0,1,ST,-118.2310,01/29/2010,2010,1,40207,29,12/30/1899 02:31:00,33.485000,33,29.100000,N,-122.536667,-122,32.200000,W,80.0,80.000000,80.000000,80.0,80.000000,80.000000,3997,,,RV NEW HORIZON,32NM,MX,64,632,,80.0 80.0,3101,1001,43.60000,,,,,,,,,,25,12,1017.100,12.50000,10.30000,,,,
32272,2010-01-13-C-32NM,201001,20100108000900,08000900,20-1001NM-MX-029-1015-08000900,080.0 090.0,1,ST,-158.4510,01/29/2010,2010,1,40207,29,12/30/1899 10:15:00,33.143333,33,8.600000,N,-123.226667,-123,13.600000,W,80.0,80.000000,80.000000,90.0,90.000000,90.100000,4229,,,RV NEW HORIZON,32NM,MX,65,642,,80.0 90.0,3101,1001,26.90000,,,,,,,,,,16,2,1017.100,12.30000,10.20000,,,,
32273,2010-01-13-C-32NM,201001,20100108001000,08001000,20-1001NM-PR-029-1736-08001000,080.0 100.0,1,ST,-198.0690,01/29/2010,2010,1,40207,29,12/30/1899 17:36:00,32.813333,32,48.800000,N,-123.908333,-123,54.500000,W,80.0,80.000000,80.000000,100.0,100.000000,100.100000,4365,20,,RV NEW HORIZON,32NM,PR,66,652,,80.0 100.0,3101,1001,34.90000,205.6000,12/30/1899 12:25:00,12/30/1899 18:15:00,12/30/1899 12:29:00,12/30/1899 18:12:00,+08,25,4,5,15,10,1016.800,15.90000,13.60000,1,6,5,7
32274,2010-01-13-C-32NM,201001,20100108170435,08170435,20-1001NM-MX-027-2056-08170435,081.7 043.5,1,SCO,-0.947000,01/27/2010,2010,1,40205,27,12/30/1899 20:56:00,34.401667,34,24.100000,N,-119.801667,-119,48.100000,W,81.7,81.700000,81.700000,43.5,43.500000,43.500000,27,,,RV NEW HORIZON,32NM,MX,57,562,,81.7 43.5,3101,1001,18.30000,,,,,,,22,1,7,12,3,1011.800,15.70000,13.00000,1,6,2,8
32275,2010-01-13-C-32NM,201001,20100108180469,08180469,20-1001NM-MX-027-2311-08180469,081.8 046.9,1,ST,-13.97400,01/27/2010,2010,1,40205,27,12/30/1899 23:11:00,34.271667,34,16.300000,N,-120.023333,-120,1.400000,W,81.8,81.800000,81.800000,46.9,46.900000,46.900000,582,11,,RV NEW HORIZON,32NM,MX,58,572,,81.8 46.9,3101,1001,70.80000,,,,,,,27,1,6,20,11,1010.500,16.30000,14.00000,1,2,3,8
32276,2010-01-13-C-32NM,201001,20100108330394,08330394,20-1001NM-MX-027-1412-08330394,083.3 039.4,1,SCO,-1.227000,01/27/2010,2010,1,40205,27,12/30/1899 14:12:00,34.258333,34,15.500000,N,-119.325000,-119,19.500000,W,83.3,83.300000,83.300000,39.4,39.400000,39.400000,19,,,RV NEW HORIZON,32NM,MX,55,542,,83.3 39.4,3101,1001,12.10000,,,,,,,,,,33,14,1011.200,13.10000,9.900000,,,,
32277,2010-01-13-C-32NM,201001,20100108330406,08330406,20-1001NM-PR-027-1624-08330406,083.3 040.6,1,ST,-6.019000,01/27/2010,2010,1,40205,27,12/30/1899 16:24:00,34.228333,34,13.700000,N,-119.416667,-119,25.000000,W,83.3,83.300000,83.300000,40.6,40.600000,40.600000,37,5,,RV NEW HORIZON,32NM,PR,56,552,,83.3 40.6,3101,1001,26.80000,170.5000,12/30/1899 12:13:00,12/30/1899 17:55:00,12/30/1899 12:14:00,12/30/1899 17:53:00,+08,7,1,7,1,6,1012.700,14.70000,11.90000,0,,0,7
32278,2010-01-13-C-32NM,201001,20100108330420,08330420,20-1001NM-MX-027-1141-08330420,083.3 042.0,1,ST,-11.39900,01/27/2010,2010,1,40205,27,12/30/1899 11:41:00,34.180000,34,10.800000,N,-119.508333,-119,30.500000,W,83.3,83.300000,83.300000,42.0,42.000000,42.000000,128,,,RV NEW HORIZON,32NM,MX,54,532,,83.3 42.0,3101,1001,70.90000,,,,,,,,,,22,4,1011.000,14.10000,11.90000,,,,
32279,2010-01-13-C-32NM,201001,20100108330510,08330510,20-1001NM-MX-027-0529-08330510,083.3 051.0,1,ST,-47.43600,01/27/2010,2010,1,40205,27,12/30/1899 05:29:00,33.878333,33,52.700000,N,-120.135000,-120,8.100000,W,83.3,83.300000,83.300000,51.0,51.000000,51.000000,102,,,RV NEW HORIZON,32NM,MX,53,522,,83.3 51.0,3101,1001,138.2000,,,,,,,,,,3,17,1010.500,14.20000,11.80000,,,,
