Cst_Cnt,Btl_Cnt,Depth (m),T_degC,SiO3uM,PO4uM,NO2uM,NO3uM,NH3uM,LightP,Bottle Number,studyName,Latitude,Longitude,Line_x,Station_x,Line_y,Station_y,Diatom < 5um,Diatom 5-10um,Diatom 10-20um,Diatom 20-40um,Diatom > 40um,Total Diatom
31679,794005,10,14.25,2.1,0.34,0.01,0.1,0.01,,19.0,2008-01-07-C-31JD,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.1,0.0,0.06,0.23,0.39
31679,794007,30,14.25,2.1,0.34,0.01,0.1,0.01,,17.0,2008-01-07-C-31JD,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.0,0.19,0.6,0.04,0.82
31679,794009,50,14.05,2.1,0.41,0.06,0.7,0.12,,15.0,2008-01-07-C-31JD,3041,-12400,90.0,120.0,90.0,120.1,0.0,0.0,0.01,0.14,0.77,0.92
31719,795081,10,10.63,18.9,1.51,0.21,18.0,0.4,,19.0,2008-03-24-C-31JD,3431,-12080,80.0,55.0,80.0,55.0,0.0,0.0,0.83,15.8,11.07,27.7
31719,795084,30,10.63,18.8,1.52,0.21,17.9,0.38,,17.0,2008-03-24-C-31JD,3431,-12080,80.0,55.0,80.0,55.0,0.07,0.1,1.14,15.12,12.78,29.2
31719,795088,61,10.28,22.2,1.73,0.23,20.7,0.62,,14.0,2008-03-24-C-31JD,3431,-12080,80.0,55.0,80.0,55.0,0.12,0.0,2.0,3.7,18.53,24.36
31721,795143,10,12.5,4.3,0.48,0.06,1.4,0.06,,20.0,2008-03-24-C-31JD,3382,-12186,80.0,70.0,80.0,70.1,0.0,0.0,0.09,0.91,0.13,1.13
31721,795148,50,12.37,4.7,0.54,0.08,2.3,0.21,,15.0,2008-03-24-C-31JD,3382,-12186,80.0,70.0,80.0,70.1,0.06,0.0,0.01,1.07,0.0,1.14
31721,795150,71,11.67,5.7,0.67,0.17,4.1,0.37,,13.0,2008-03-24-C-31JD,3382,-12186,80.0,70.0,80.0,70.1,0.01,0.0,0.01,0.03,0.02,0.07
31722,795174,10,12.44,4.3,0.48,0.06,1.7,0.05,,19.0,2008-03-24-C-31JD,3349,-12253,80.0,80.0,80.0,79.9,0.0,0.0,0.7,0.29,2.52,3.52
